case,Last_Event,First_Event,Case_Duration,Variants,Case_Duration in minutes
944,End,Register,1255.0,1,20.92
945,End,Register,1322.0,1,22.03
946,End,Register,1513.0,1,25.22
948,End,Register,1187.0,1,19.78
950,End,Register,1195.0,1,19.92
952,End,Register,1199.0,1,19.98
954,End,Register,1172.0,1,19.53
957,End,Register,1378.0,1,22.97
961,End,Register,1333.0,1,22.22
964,End,Register,1214.0,1,20.23
965,End,Register,1146.0,1,19.1
968,End,Register,1233.0,1,20.55
970,End,Register,1200.0,1,20.0
971,End,Register,1270.0,1,21.17
972,End,Register,1298.0,1,21.63
973,End,Register,1375.0,1,22.92
975,End,Register,1168.0,1,19.47
976,End,Register,1302.0,1,21.7
977,End,Register,1549.0,1,25.82
978,End,Register,1318.0,1,21.97
979,End,Register,1217.0,1,20.28
981,End,Register,1397.0,1,23.28
982,End,Register,1249.0,1,20.82
983,End,Register,1432.0,1,23.87
984,End,Register,1430.0,1,23.83
986,End,Register,1334.0,1,22.23
988,End,Register,1322.0,1,22.03
989,End,Register,1094.0,1,18.23
991,End,Register,1139.0,1,18.98
993,End,Register,1193.0,1,19.88
994,End,Register,1154.0,1,19.23
997,End,Register,1014.0,1,16.9
1002,End,Register,1160.0,1,19.33
1008,End,Register,1258.0,1,20.97
1009,End,Register,1299.0,1,21.65
1012,End,Register,1083.0,1,18.05
1013,End,Register,1219.0,1,20.32
1014,End,Register,1143.0,1,19.05
1016,End,Register,1431.0,1,23.85
1017,End,Register,1236.0,1,20.6
1019,End,Register,1218.0,1,20.3
1023,End,Register,1225.0,1,20.42
1024,End,Register,1238.0,1,20.63
1025,End,Register,1526.0,1,25.43
1026,End,Register,1238.0,1,20.63
1028,End,Register,1403.0,1,23.38
1029,End,Register,1190.0,1,19.83
1030,End,Register,1198.0,1,19.97
1031,End,Register,1289.0,1,21.48
1032,End,Register,1262.0,1,21.03
1033,End,Register,1165.0,1,19.42
1034,End,Register,1173.0,1,19.55
1037,End,Register,1177.0,1,19.62
1040,End,Register,1045.0,1,17.42
1043,End,Register,1165.0,1,19.42
1044,End,Register,1146.0,1,19.1
1045,End,Register,1318.0,1,21.97
1048,End,Register,1220.0,1,20.33
1050,End,Register,1234.0,1,20.57
1052,End,Register,1213.0,1,20.22
1055,End,Register,1184.0,1,19.73
1057,End,Register,1500.0,1,25.0
1058,End,Register,1247.0,1,20.78
1061,End,Register,1401.0,1,23.35
1065,End,Register,1436.0,1,23.93
1066,End,Register,1138.0,1,18.97
1067,End,Register,1402.0,1,23.37
1068,End,Register,1084.0,1,18.07
1070,End,Register,1348.0,1,22.47
1071,End,Register,1361.0,1,22.68
1072,End,Register,1105.0,1,18.42
1075,End,Register,1397.0,1,23.28
1080,End,Register,1203.0,1,20.05
1081,End,Register,1551.0,1,25.85
1082,End,Register,1038.0,1,17.3
1086,End,Register,1251.0,1,20.85
1094,End,Register,1427.0,1,23.78
1095,End,Register,1092.0,1,18.2
1097,End,Register,1275.0,1,21.25
1102,End,Register,1329.0,1,22.15
1103,End,Register,1179.0,1,19.65
1104,End,Register,1407.0,1,23.45
1107,End,Register,1150.0,1,19.17
1109,End,Register,1391.0,1,23.18
1110,End,Register,1249.0,1,20.82
1112,End,Register,1339.0,1,22.32
1114,End,Register,1149.0,1,19.15
1115,End,Register,1360.0,1,22.67
1116,End,Register,998.0,1,16.63
1118,End,Register,1196.0,1,19.93
1119,End,Register,1177.0,1,19.62
1120,End,Register,1258.0,1,20.97
1122,End,Register,1163.0,1,19.38
1123,End,Register,1354.0,1,22.57
1124,End,Register,1499.0,1,24.98
1125,End,Register,1326.0,1,22.1
1127,End,Register,1004.0,1,16.73
1134,End,Register,1218.0,1,20.3
1135,End,Register,1269.0,1,21.15
1136,End,Register,1381.0,1,23.02
1137,End,Register,1090.0,1,18.17
1138,End,Register,1123.0,1,18.72
1139,End,Register,1346.0,1,22.43
1140,End,Register,1187.0,1,19.78
1142,End,Register,1149.0,1,19.15
1148,End,Register,1319.0,1,21.98
1149,End,Register,1177.0,1,19.62
1151,End,Register,1185.0,1,19.75
1152,End,Register,1370.0,1,22.83
